Albania,368,-2.1,,,,,,,,,,,,,,,,,,
Argentina,378,-2.3,,,,,,,,,,,,,,,,,,
Australia,487,-1.8,,,,,,,,,,,,,,,,,,
Austria,487,-2.3,,,,,,,,,,,,,,,,,,
Azerbaijan,397,-2.4,,,,,,,,,,,,,,,,,,
Belgium,489,-2.2,,,,,,,,,,,,,,,,,,
Brazil,379,-1.6,,,,,,,,,,,,,,,,,,
Brunei,442,-0.9,,,,,,,,,,,,,,,,,,
Bulgaria,417,-3.3,,,,,,,,,,,,,,,,,,
Cambodia,336,-2.7,,,,,,,,,,,,,,,,,,
Canada,497,-1.6,,,,,,,,,,,,,,,,,,
Chile,412,-2.1,,,,,,,,,,,,,,,,,,
Taiwan,547,-3.8,,,,,,,,,,,,,,,,,,
Colombia,383,-3,,,,,,,,,,,,,,,,,,
Costa Rica,385,-1.9,,,,,,,,,,,,,,,,,,
Croatia,463,-2.4,,,,,,,,,,,,,,,,,,
Cyprus,418,-1.2,,,,,,,,,,,,,,,,,,
Czech Republic,487,-2.1,,,,,,,,,,,,,,,,,,
Denmark,489,-1.9,,,,,,,,,,,,,,,,,,
Dominican Republic,339,-1.6,,,,,,,,,,,,,,,,,,
El Salvador,343,-2,,,,,,,,,,,,,,,,,,
Estonia,510,-2,,,,,,,,,,,,,,,,,,
Finland,484,-1.9,,,,,,,,,,,,,,,,,,
France,474,-2.5,,,,,,,,,,,,,,,,,,
Georgia,390,-2.4,,,,,,,,,,,,,,,,,,
Germany,475,-3.1,,,,,,,,,,,,,,,,,,
Greece,430,-2.3,,,,,,,,,,,,,,,,,,
Guatemala,344,-2.2,,,,,,,,,,,,,,,,,,
Hong Kong,540,-3,,,,,,,,,,,,,,,,,,
Hungary,473,-2.5,,,,,,,,,,,,,,,,,,
Iceland,459,-1.6,,,,,,,,,,,,,,,,,,
Indonesia,366,-2.4,,,,,,,,,,,,,,,,,,
Ireland,492,-2,,,,,,,,,,,,,,,,,,
Israel,458,-3.3,,,,,,,,,,,,,,,,,,
Italy,471,-3.1,,,,,,,,,,,,,,,,,,
Jamaica,377,-3.1,,,,,,,,,,,,,,,,,,
Japan,536,-2.9,,,,,,,,,,,,,,,,,,
Jordan,361,-2,,,,,,,,,,,,,,,,,,
Kazakhstan,425,-1.7,,,,,,,,,,,,,,,,,,
South Korea,527,-3.9,,,,,,,,,,,,,,,,,,
Kosovo,355,-1,,,,,,,,,,,,,,,,,,
Latvia,483,-2,,,,,,,,,,,,,,,,,,
Lithuania,475,-1.8,,,,,,,,,,,,,,,,,,
Malaysia,409,-2.4,,,,,,,,,,,,,,,,,,
Malta,466,-1.6,,,,,,,,,,,,,,,,,,
Mexico,395,-2.3,,,,,,,,,,,,,,,,,,
Moldova,414,-2.3,,,,,,,,,,,,,,,,,,
Mongolia,425,-2.6,,,,,,,,,,,,,,,,,,
Montenegro,406,-1.1,,,,,,,,,,,,,,,,,,
Morocco,365,-3.4,,,,,,,,,,,,,,,,,,
Netherlands,493,-3.8,,,,,,,,,,,,,,,,,,
New Zealand,479,-2,,,,,,,,,,,,,,,,,,
Norway,468,-2.1,,,,,,,,,,,,,,,,,,
Palestine,366,-1.8,,,,,,,,,,,,,,,,,,
Panama,357,-2.8,,,,,,,,,,,,,,,,,,
Paraguay,338,-2.2,,,,,,,,,,,,,,,,,,
Peru,391,-2.3,,,,,,,,,,,,,,,,,,
Philippines,355,-2.6,,,,,,,,,,,,,,,,,,
Poland,489,-2.3,,,,,,,,,,,,,,,,,,
Portugal,472,-2.4,,,,,,,,,,,,,,,,,,
Qatar,414,-1.1,,,,,,,,,,,,,,,,,,
Romania,428,-4,,,,,,,,,,,,,,,,,,
Saudi Arabia,389,-1.8,,,,,,,,,,,,,,,,,,
Serbia,440,-3,,,,,,,,,,,,,,,,,,
Singapore,575,-1.2,,,,,,,,,,,,,,,,,,
Slovakia,464,-2.9,,,,,,,,,,,,,,,,,,
Slovenia,485,-1.2,,,,,,,,,,,,,,,,,,
Spain,473,-1.5,,,,,,,,,,,,,,,,,,
Sweden,482,-2.1,,,,,,,,,,,,,,,,,,
Switzerland,508,-2.1,,,,,,,,,,,,,,,,,,
Thailand,394,-2.7,,,,,,,,,,,,,,,,,,
Turkey,453,-1.6,,,,,,,,,,,,,,,,,,
Ukraine,441,-4.1,,,,,,,,,,,,,,,,,,
United Arab Emirates,431,-0.9,,,,,,,,,,,,,,,,,,
United Kingdom,489,-2.2,,,,,,,,,,,,,,,,,228,-6.4
United States,465,-4,,,,,,,,,,,,,,,,,,
Uruguay,409,-2,,,,,,,,,,,,,,,,,,
Uzbekistan,364,-2,,,,,,,,,,,,,,,,,,
Vietnam,469,-3.9,,,,,,,,,,,,,,,,,,
